2023-12-16 19:42:13,Hotkeys press,3
2023-12-16 19:42:13,Mouse using,8.549999999999986
2023-12-16 19:42:13,RAM,52.6,%
2023-12-16 19:42:13,CPU(%),14.2,%
2023-12-16 19:42:43,Hotkeys press,6
2023-12-16 19:42:43,Mouse using,0
2023-12-16 19:42:43,RAM,51.7,%
2023-12-16 19:42:43,CPU(%),9.5,%
